Inventory_ID,Product_Name,Category,Branch,Vendor,Date_Received,Quantity_Received,Quantity_Sold,Quantity_Damaged,Quantity_Remaining,Unit_Cost,Inventory_Value,Reorder_Level,Inventory_Status
INV00222,Manage Product,Pharmaceuticals,Port Harcourt,"Buck, Rios and Brennan",14/05/2026,60,25,46,-11,4658,-51238,143,Slow Moving
INV00223,Lay Product,Food,Port Harcourt,Bennett-Bentley,14/05/2026,1657,734,19,904,24630,22265520,25,Healthy
INV00224,Away Product,Pharmaceuticals,Ibadan,"Griffith, Hunter and Reid",14/05/2026,289,287,8,-6,24045,-144270,26,Slow Moving
INV00225,Edge Product,Pharmaceuticals,Abuja,"Jackson, Hopkins and Walsh",14/05/2026,1667,1021,29,617,9279,5725143,54,Critical
INV00226,Better Product,Building Materials,Kano,"Moon, Baker and Gonzalez",14/05/2026,703,142,42,519,11225,5825775,156,Overstocked
INV00227,Start Product,Fashion,Lagos,"Morales, Rose and Riley",14/05/2026,1668,1458,17,193,7523,1451939,96,Critical
INV00228,Ground Product,Fashion,Kano,Lewis-Thompson,14/05/2026,844,433,37,374,19456,7276544,149,Slow Moving
INV00229,Open Product,Food,Lagos,Oliver-Smith,14/05/2026,1669,1150,0,519,21856,11343264,185,Healthy
INV00230,Long Product,Fashion,Port Harcourt,Haley Inc,14/05/2026,1781,1318,49,414,7872,3259008,153,Slow Moving
INV00231,Low Product,Beverages,Kano,Miller-Stevenson,14/05/2026,866,125,31,710,2871,2038410,76,Slow Moving
INV00232,Range Product,Building Materials,Abuja,"Simon, Hansen and Keith",14/05/2026,1745,1010,29,706,16044,11327064,169,Overstocked
INV00233,Under Product,Electronics,Lagos,Thomas PLC,14/05/2026,66,36,24,6,17255,103530,83,Slow Moving
INV00234,Key Product,Electronics,Lagos,Baldwin-Obrien,14/05/2026,137,20,39,78,21393,1668654,87,Critical
INV00235,Suggest Product,Food,Port Harcourt,Smith LLC,14/05/2026,1614,1591,18,5,22267,111335,58,Critical
INV00236,Age Product,Fashion,Kano,Munoz-Wilson,14/05/2026,1614,722,5,887,6902,6122074,45,Critical
INV00237,Child Product,Fashion,Port Harcourt,Cain-Miller,14/05/2026,213,181,13,19,19484,370196,142,Healthy
INV00238,Call Product,Food,Ibadan,Johnson Group,14/05/2026,973,384,0,589,4706,2771834,127,Slow Moving
INV00239,Always Product,Fashion,Abuja,Browning-Mcbride,14/05/2026,681,87,30,564,17782,10029048,189,Overstocked
INV00240,Friend Product,Food,Lagos,Mckinney-Miller,14/05/2026,1705,1627,27,51,8821,449871,95,Critical
INV00241,Manage Product,Food,Lagos,Jenkins Group,14/05/2026,196,177,6,13,5994,77922,139,Healthy
INV00242,Election Product,Beverages,Abuja,"Morgan, Jones and Marsh",14/05/2026,266,42,46,178,4744,844432,133,Critical
INV00243,Young Product,Fashion,Abuja,Jones Inc,14/05/2026,77,55,11,11,1294,14234,179,Healthy
INV00244,Mr Product,Fashion,Kano,Smith Inc,14/05/2026,548,275,21,252,8581,2162412,141,Slow Moving
INV00245,Election Product,Building Materials,Abuja,Fuller PLC,14/05/2026,1981,816,43,1122,8090,9076980,28,Overstocked
INV00246,Child Product,Beverages,Kano,"Frey, Martinez and Coleman",14/05/2026,682,323,6,353,12266,4329898,149,Overstocked
INV00247,Everyone Product,Beverages,Abuja,Williams-Bartlett,14/05/2026,329,151,24,154,24671,3799334,146,Slow Moving
INV00248,Fight Product,Fashion,Lagos,Wilson PLC,14/05/2026,276,46,27,203,9590,1946770,99,Slow Moving
INV00249,See Product,Building Materials,Kano,Dalton Group,14/05/2026,1083,356,39,688,10716,7372608,105,Overstocked
INV00250,Door Product,Pharmaceuticals,Lagos,Medina Ltd,14/05/2026,217,101,28,88,17059,1501192,37,Healthy
INV00251,Expect Product,Pharmaceuticals,Kano,Anderson PLC,14/05/2026,549,332,17,200,7199,1439800,88,Overstocked
INV00252,Training Product,Building Materials,Kano,Bryant Ltd,14/05/2026,587,506,34,47,11176,525272,63,Slow Moving
INV00253,Almost Product,Pharmaceuticals,Abuja,Smith LLC,14/05/2026,1708,123,18,1567,3754,5882518,33,Critical
INV00254,Animal Product,Electronics,Lagos,Wilson-Mckenzie,14/05/2026,796,24,4,768,14254,10947072,198,Healthy
INV00255,Rich Product,Fashion,Ibadan,"Vargas, Barnes and Ford",14/05/2026,1850,1091,8,751,19554,14685054,74,Slow Moving
INV00256,Recognize Product,Fashion,Ibadan,Coleman-Miller,14/05/2026,490,91,37,362,21372,7736664,195,Overstocked
INV00257,Report Product,Building Materials,Lagos,Johnson-Rocha,14/05/2026,345,264,12,69,19645,1355505,114,Critical
INV00258,Short Product,Beverages,Kano,Ballard-Marshall,14/05/2026,687,267,40,380,13974,5310120,64,Critical
INV00259,Case Product,Building Materials,Port Harcourt,Flores Inc,14/05/2026,746,416,29,301,23150,6968150,47,Slow Moving
INV00260,Similar Product,Fashion,Kano,Cole-Knight,14/05/2026,1931,121,35,1775,7565,13427875,150,Critical
INV00261,To Product,Pharmaceuticals,Port Harcourt,Hall PLC,14/05/2026,1316,484,42,790,13058,10315820,71,Overstocked
INV00262,Anyone Product,Building Materials,Lagos,Larsen-Reid,14/05/2026,186,154,35,-3,21217,-63651,169,Critical
INV00263,Western Product,Electronics,Kano,Thomas-Johnson,14/05/2026,442,342,6,94,24885,2339190,72,Critical
INV00264,Tonight Product,Electronics,Lagos,"Nelson, Rowland and Curry",14/05/2026,1181,741,49,391,16079,6286889,106,Critical
INV00265,Law Product,Beverages,Abuja,Buck-Nelson,14/05/2026,516,167,11,338,19925,6734650,101,Slow Moving
INV00266,Other Product,Fashion,Kano,Aguilar-Anderson,14/05/2026,1550,409,15,1126,23731,26721106,131,Healthy
INV00267,Theory Product,Food,Ibadan,Mcintyre-Leonard,14/05/2026,531,98,28,405,22332,9044460,179,Critical
INV00268,Appear Product,Food,Ibadan,Thompson-Riley,14/05/2026,1702,420,10,1272,18447,23464584,116,Overstocked
INV00269,Team Product,Food,Port Harcourt,"Robinson, Bryant and Schneider",14/05/2026,390,181,16,193,20035,3866755,30,Healthy
INV00270,Shake Product,Beverages,Lagos,Weiss Group,14/05/2026,1083,781,5,297,11109,3299373,144,Overstocked
INV00271,List Product,Pharmaceuticals,Port Harcourt,Raymond-Smith,14/05/2026,517,380,41,96,12185,1169760,187,Slow Moving
INV00272,Edge Product,Fashion,Ibadan,"Smith, Kelly and Dixon",14/05/2026,1737,704,50,983,5918,5817394,53,Critical
INV00273,Beat Product,Electronics,Ibadan,"Osborn, Davis and Fowler",14/05/2026,1505,715,45,745,8821,6571645,26,Healthy
INV00274,Friend Product,Building Materials,Abuja,"Hernandez, Jacobs and Shields",14/05/2026,1807,1246,2,559,21929,12258311,69,Overstocked
INV00275,Scientist Product,Food,Port Harcourt,"Reyes, Wood and Shaw",14/05/2026,607,380,9,218,23580,5140440,168,Healthy
INV00276,Real Product,Beverages,Ibadan,Nolan-Myers,14/05/2026,860,338,10,512,16299,8345088,193,Slow Moving
INV00277,According Product,Beverages,Port Harcourt,"Turner, Burnett and Foster",14/05/2026,1319,737,19,563,18048,10161024,148,Slow Moving
INV00278,Suddenly Product,Building Materials,Port Harcourt,Wolf-Mann,14/05/2026,1150,441,13,696,10561,7350456,115,Critical
INV00279,Sister Product,Food,Abuja,Hebert-Reyes,14/05/2026,1503,93,23,1387,5744,7966928,60,Overstocked
INV00280,Poor Product,Fashion,Kano,"Clements, Lang and Foster",14/05/2026,1779,993,7,779,6650,5180350,89,Critical
INV00281,Culture Product,Pharmaceuticals,Ibadan,Mitchell-Benjamin,14/05/2026,1756,331,34,1391,6446,8966386,99,Critical
INV00282,Reason Product,Beverages,Kano,Cruz and Sons,14/05/2026,1951,1852,33,66,10946,722436,75,Slow Moving
INV00283,Management Product,Fashion,Lagos,Galloway-Wagner,14/05/2026,813,241,5,567,23385,13259295,152,Overstocked
INV00284,Concern Product,Fashion,Kano,Brown-Terrell,14/05/2026,1323,126,3,1194,506,604164,79,Healthy
INV00285,Learn Product,Pharmaceuticals,Abuja,"Dalton, Bennett and Perez",14/05/2026,1759,306,22,1431,1376,1969056,132,Healthy
INV00286,Finish Product,Beverages,Port Harcourt,Carney Inc,14/05/2026,1340,328,3,1009,16583,16732247,37,Healthy
INV00287,Car Product,Beverages,Kano,Cortez-Reed,14/05/2026,1543,1115,12,416,13926,5793216,189,Slow Moving
INV00288,Hour Product,Electronics,Abuja,Jenkins Inc,14/05/2026,847,812,29,6,5483,32898,178,Overstocked
INV00289,Water Product,Electronics,Ibadan,Hines and Sons,14/05/2026,217,164,32,21,14403,302463,168,Critical
INV00290,One Product,Food,Lagos,Thomas-Miller,14/05/2026,1569,272,18,1279,3053,3904787,173,Critical
INV00291,Truth Product,Pharmaceuticals,Abuja,White-Jimenez,14/05/2026,1168,787,37,344,2978,1024432,147,Slow Moving
INV00292,Too Product,Electronics,Abuja,Harmon and Sons,14/05/2026,1469,486,22,961,22678,21793558,186,Critical
INV00293,Movie Product,Food,Kano,Hayes-Schroeder,14/05/2026,120,96,21,3,19419,58257,125,Healthy
INV00294,Mr Product,Electronics,Lagos,Burke-Irwin,14/05/2026,1465,1303,43,119,12277,1460963,29,Healthy
INV00295,Woman Product,Food,Port Harcourt,"Johnson, Cooper and Johnson",14/05/2026,1937,718,8,1211,22530,27283830,173,Slow Moving
INV00296,Individual Product,Pharmaceuticals,Kano,"Brennan, Hoffman and Ortiz",14/05/2026,1849,380,21,1448,16509,23905032,176,Healthy
INV00297,Break Product,Electronics,Port Harcourt,Jensen PLC,14/05/2026,1609,645,10,954,14403,13740462,108,Healthy
INV00298,Car Product,Pharmaceuticals,Ibadan,"Gordon, Pearson and Davis",14/05/2026,252,136,13,103,16733,1723499,118,Healthy
INV00299,You Product,Food,Lagos,Johnson PLC,14/05/2026,367,258,31,78,15078,1176084,82,Critical
INV00300,Heavy Product,Fashion,Abuja,"Gardner, Guerra and Smith",14/05/2026,1452,1080,4,368,4972,1829696,194,Slow Moving
